StudyID,Subgroup,Age_Group,Country,Device_Brand,Sampling_Rate_Hz,Sleep_Objective_Yes_No,Behavior,Minutes,Mean_Type,StudyID_display
"Dumuid, Stanford, Pedi_i_ (2018) (Overweight girls)",Overweight girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,Sleep,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Overweight girls) (Overweight girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Overweight girls)",Overweight girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,SB,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Overweight girls) (Overweight girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Overweight girls)",Overweight girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,LPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Overweight girls) (Overweight girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Overweight girls)",Overweight girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,MVPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Overweight girls) (Overweight girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Obese girls)",Obese girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,Sleep,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Obese girls) (Obese girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Obese girls)",Obese girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,SB,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Obese girls) (Obese girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Obese girls)",Obese girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,LPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Obese girls) (Obese girls)"
"Dumuid, Stanford, Pedi_i_ (2018) (Obese girls)",Obese girls,Children,"Australia, Canada, United Kingdom, Finland",Actigraph,NR,Yes,MVPA,NR,Arithmetic,"Dumuid, Stanford, Pedi_i_ (2018) (Obese girls) (Obese girls)"
"Dumuid, Maher, Lewis (2018) (Australia)",Australia,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Australia) (Australia)"
"Dumuid, Maher, Lewis (2018) (Australia)",Australia,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Australia) (Australia)"
"Dumuid, Maher, Lewis (2018) (Australia)",Australia,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Australia) (Australia)"
"Dumuid, Maher, Lewis (2018) (Australia)",Australia,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Australia) (Australia)"
"Dumuid, Maher, Lewis (2018) (England)",England,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (England) (England)"
"Dumuid, Maher, Lewis (2018) (England)",England,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (England) (England)"
"Dumuid, Maher, Lewis (2018) (England)",England,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (England) (England)"
"Dumuid, Maher, Lewis (2018) (England)",England,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (England) (England)"
"Dumuid, Maher, Lewis (2018) (Canada)",Canada,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Canada) (Canada)"
"Dumuid, Maher, Lewis (2018) (Canada)",Canada,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Canada) (Canada)"
"Dumuid, Maher, Lewis (2018) (Canada)",Canada,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Canada) (Canada)"
"Dumuid, Maher, Lewis (2018) (Canada)",Canada,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Canada) (Canada)"
"Dumuid, Maher, Lewis (2018) (Finland)",Finland,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Finland) (Finland)"
"Dumuid, Maher, Lewis (2018) (Finland)",Finland,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Finland) (Finland)"
"Dumuid, Maher, Lewis (2018) (Finland)",Finland,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Finland) (Finland)"
"Dumuid, Maher, Lewis (2018) (Finland)",Finland,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Finland) (Finland)"
"Dumuid, Maher, Lewis (2018) (Portugal)",Portugal,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Portugal) (Portugal)"
"Dumuid, Maher, Lewis (2018) (Portugal)",Portugal,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Portugal) (Portugal)"
"Dumuid, Maher, Lewis (2018) (Portugal)",Portugal,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Portugal) (Portugal)"
"Dumuid, Maher, Lewis (2018) (Portugal)",Portugal,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Portugal) (Portugal)"
"Dumuid, Maher, Lewis (2018) (USA)",USA,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (USA) (USA)"
"Dumuid, Maher, Lewis (2018) (USA)",USA,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (USA) (USA)"
"Dumuid, Maher, Lewis (2018) (USA)",USA,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (USA) (USA)"
"Dumuid, Maher, Lewis (2018) (USA)",USA,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (USA) (USA)"
"Dumuid, Maher, Lewis (2018) (Brazil)",Brazil,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Brazil) (Brazil)"
"Dumuid, Maher, Lewis (2018) (Brazil)",Brazil,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Brazil) (Brazil)"
"Dumuid, Maher, Lewis (2018) (Brazil)",Brazil,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Brazil) (Brazil)"
"Dumuid, Maher, Lewis (2018) (Brazil)",Brazil,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Brazil) (Brazil)"
"Dumuid, Maher, Lewis (2018) (Columbia)",Colombia,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Columbia) (Colombia)"
"Dumuid, Maher, Lewis (2018) (Columbia)",Colombia,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Columbia) (Colombia)"
"Dumuid, Maher, Lewis (2018) (Columbia)",Colombia,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Columbia) (Colombia)"
"Dumuid, Maher, Lewis (2018) (Columbia)",Colombia,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,MVPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (Columbia) (Colombia)"
"Dumuid, Maher, Lewis (2018) (China)",China,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,Sleep,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (China) (China)"
"Dumuid, Maher, Lewis (2018) (China)",China,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,SB,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (China) (China)"
"Dumuid, Maher, Lewis (2018) (China)",China,Children,"Australia, Brazil, Canada, China, Colombia, England, Finland, India, Kenya, Portugal, South Africa, and the United States (12 nations)",Actigraph,80,Yes,LPA,NR,Arithmetic,"Dumuid, Maher, Lewis (2018) (China) (China)"
