StudyID,StudyID_display,Year,Age_Group,Subgroup,Device_Brand,Device_Type,Country,Sampling_Rate_Hz,Sleep_Measurement_Type,Behavior,Mean_Type,Minutes
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Full,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Full,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Geometric,516.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Full,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Full,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Geometric,304.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Full,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Full,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Geometric,62.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Geometric,564.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Geometric,520.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Geometric,301.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Geometric,55.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Geometric,550.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Geometric,510.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Geometric,308.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Geometric,72.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Normal weight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Normal weight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Geometric,551.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Normal weight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Normal weight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Geometric,506.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Normal weight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Normal weight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Geometric,307.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Normal weight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Normal weight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Geometric,75.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Geometric,549.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Geometric,515.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Geometric,307.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Geometric,70.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Geometric,541.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Geometric,526.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese boys,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Arithmetic,
